n,alpha,c,seed,algo,loss,time,lr,iters,mse
10,5.0,0.95,2,gd,0.0007357326103374362,0.210784912109375,0.001,1000,7.357326103374362e-05
10,1.0,0.95,3,gd,0.7777673602104187,0.1060035228729248,0.005,500,0.07777673602104188
10,5.0,0.5,2,gd,0.05754463002085686,0.21845412254333496,0.005,1000,0.005754463002085685
10,1.0,0.8,2,gd,0.9611582159996033,0.21534180641174316,0.01,1000,0.09611582159996032
10,5.0,0.95,2,gd,0.0007357326103374362,0.2149207592010498,0.005,1000,7.357326103374362e-05
10,5.0,0.8,2,gd,0.003235037438571453,0.21920132637023926,0.001,1000,0.0003235037438571453
10,10.0,0.5,2,gd,0.00044794255518354475,0.20108628273010254,0.01,1000,4.479425551835447e-05
10,1.0,0.8,3,gd,0.9611582159996033,0.10254859924316406,0.01,500,0.09611582159996032
10,5.0,0.5,2,gd,0.05754463002085686,0.22159624099731445,0.01,1000,0.005754463002085685
10,5.0,0.95,2,gd,0.0007357326103374362,0.2164292335510254,0.01,1000,7.357326103374362e-05
